unique_id,street,city,state,zip
LIHTC_CENSUS_0169,1810 HILL RISE DRIVE,LEXINGTON,KY,40504
LIHTC_CENSUS_0170,1820 HILL RISE DRIVE,LEXINGTON,KY,40504
LIHTC_CENSUS_0171,462 AUSTIN LANE,BASTROP,LA,71220
LIHTC_CENSUS_0172,1358 GLACIER STREET,BATON ROUGE,LA,10802
LIHTC_CENSUS_0173,601 SASSAFRA,BASTROP,LA,71220
LIHTC_CENSUS_0174,100 CANE LANE # A,ABBEVILLE,LA,70510
LIHTC_CENSUS_0175,2405 RICHARD STREET,ABBEVILLE,LA,70510
LIHTC_CENSUS_0176,100 NORTH UNIVERSITY AVENUE,LAFAYETTE,LA,70501
LIHTC_CENSUS_0177,351 RICHARD SRTEET,SUNSET,LA,70584
LIHTC_CENSUS_0178,2555 LOBLOLLY LANE,ALEXANDRIA,LA,71303
LIHTC_CENSUS_0179,2705 LOBLOLLY LANE,ALEXANDRIA,LA,71303
LIHTC_CENSUS_0180,1900 DORCHESTER AVE,BOSTON,MA,02124
LIHTC_CENSUS_0181,"38 WALNUT PARK, 11-15 WALDREN ROAD, 361-363 WALNUT AVENUE, 3224-3234 WASHINGTON STREET",BOSTON,MA,02119
LIHTC_CENSUS_0182,1428 MAIN STREET,BOSTON,MA,01420
LIHTC_CENSUS_0183,520 BROADWAY STREET,BOSTON,MA,01841
LIHTC_CENSUS_0184,1 WOODLANDS WAY,ABINGTON,MA,02351
LIHTC_CENSUS_0185,303 SUMMER ST,ABINGTON,MA,02351
LIHTC_CENSUS_0186,52 58 FRANKLIN HILL AVE,DORCHESTER CENTER,MA,02124
LIHTC_CENSUS_0187,11 GEORGETOWN DRIVE,BOSTON,MA,01570
LIHTC_CENSUS_0188,13 GEORGETOWN DRIVE,BOSTON,MA,01570
LIHTC_CENSUS_0189,10 GEORGETOWN DRIVE,BOSTON,MA,01570
LIHTC_CENSUS_0190,11 GEORGETOWNE DRIVE,BOSTON,MA,02136
LIHTC_CENSUS_0191,360 1/2 TOKENEKE RD,HOLYOKE,MA,01040
LIHTC_CENSUS_0192,175 ADMIRAL COCHRANE DRIVE,ANNAPOLIS,MD,21401
LIHTC_CENSUS_0193,29 WEST WASHINGTON STREET,ANNAPOLIS,MD,21401
LIHTC_CENSUS_0194,305 FULLERTON PLACE,ABINGDON,MD,21009
LIHTC_CENSUS_0195,322 LOGAN STREET,ABINGDON,MD,21009
LIHTC_CENSUS_0196,101 HANOVER ST,ABERDEEN,MD,21001
LIHTC_CENSUS_0197,1222 PERRYMAN RD,ABERDEEN,MD,21001
LIHTC_CENSUS_0198,100 - 315 RUDY PARK,ELKTON,MD,21921
LIHTC_CENSUS_0199,5511 WATERLOO ROAD,ELLICOTT CITY,MD,21043
LIHTC_CENSUS_0200,11 MONUMENT STREET,ANNAPOLIS,MD,21401
LIHTC_CENSUS_0201,13 MONUMENT STREET,ANNAPOLIS,MD,21401
LIHTC_CENSUS_0202,660 FITZWATER ST,SALISBURY,MD,21801
LIHTC_CENSUS_0203,670 FITZWATER ST,SALISBURY,MD,21801
LIHTC_CENSUS_0204,477 MINOT AVENUE,AUBURN,ME,04210
LIHTC_CENSUS_0205,25 RIDGE ROAD,AUGUSTA,ME,04330
LIHTC_CENSUS_0206,477 MINOT,AUBURN,ME,04210
LIHTC_CENSUS_0207,20 RIDGE RD,AUGUSTA,ME,04330
LIHTC_CENSUS_0208,199 WATERBORO RD,ALFRED,ME,04002
LIHTC_CENSUS_0209,108 CT ST,AUBURN,ME,04210
LIHTC_CENSUS_0210,510 COLONIAL DRIVE,ALLEGAN,MI,49010
LIHTC_CENSUS_0211,1010 ARBORDALE,ANN ARBOR,MI,48103
LIHTC_CENSUS_0212,106 PACKARD ST.,ANN ARBOR,MI,48104
LIHTC_CENSUS_0213,2725 GLORIETTA DRIVE,GENOA TOWNSHIP,MI,48843
LIHTC_CENSUS_0214,249 W MAIN ST,ADDISON,MI,49220
LIHTC_CENSUS_0215,1059 S WINTER ST,ADRIAN,MI,49221
LIHTC_CENSUS_0216,250 WEST GRAND BLVD,DETROIT,MI,48216
LIHTC_CENSUS_0217,388 WEST GRAND BLVD,DETROIT,MI,48216
LIHTC_CENSUS_0218,44 1/2 DIVISION AVE S,GRAND RAPIDS,MI,49503
LIHTC_CENSUS_0219,2710 JEFFERSON AVENUE,MIDLAND,MI,48640
LIHTC_CENSUS_0220,1000 MINNESOTA AVE S,AITKIN,MN,56431
LIHTC_CENSUS_0221,610 AIR PARK DR,AITKIN,MN,56431
LIHTC_CENSUS_0222,26697 WILD RICE LOOP,BAGLEY,MN,56621
LIHTC_CENSUS_0223,14232 GRAND OAKS DRIVE,BAXTER,MN,56425
LIHTC_CENSUS_0224,139 WILLIAMS E,ALBERT LEA,MN,56007
LIHTC_CENSUS_0225,802 TROY RD,ALBERT LEA,MN,56007
LIHTC_CENSUS_0226,439 BLAKE RD N,HOPKINS,MN,55343
LIHTC_CENSUS_0227,4489 MARSH DR NE,PRIOR LAKE,MN,55372
LIHTC_CENSUS_0228,11345 WESTWIND DR,EDEN PRAIRIE,MN,55344
LIHTC_CENSUS_0229,11355 WESTWIND DR,EDEN PRAIRIE,MN,55344
LIHTC_CENSUS_0230,12525 GLENBROOK WAY,APPLE VALLEY,MN,55124
LIHTC_CENSUS_0231,12529 GLENBROOK WAY,APPLE VALLEY,MN,55124
LIHTC_CENSUS_0232,205 5TH ST W,BAUDETTE,MN,56623
LIHTC_CENSUS_0233,100 - 134 BRECKENRIDGE PATH,EAGLE LAKE,MN,56024
LIHTC_CENSUS_0234,2175 NOBLES STREET,WORTHINGTON,MN,55187
LIHTC_CENSUS_0235,2195 NOBLES STREET,WORTHINGTON,MN,55187
LIHTC_CENSUS_0236,6129 JACKSON,BERKELEY,MO,63134
LIHTC_CENSUS_0237,1800 S. BARON DRIVE,BOLIVAR,MO,65613
